game,date,age,team,opp,result,mp,fg,fga,fgp,three,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
55,2/25/1992,29-008,CHI,DET,L (-2),42:00:00,11,22,0.5,0,0,,1,3,0.333,1,3,4,6,4,1,1,23,19.9,
56,2/26/1992,29-009,CHI,WSB,W (+19),27:00:00,10,17,0.588,1,3,0.333,5,6,0.833,2,2,4,1,2,0,0,26,22.4,
57,2/28/1992,29-011,CHI,MIL,W (+4),41:00:00,8,18,0.444,0,0,,8,10,0.8,1,5,6,6,2,2,2,24,20.8,
58,3/1/1992,29-013,CHI,POR,W (+20),36:00:00,10,23,0.435,0,2,0,11,12,0.917,0,9,9,7,3,0,5,31,22.9,
59,3/3/1992,29-015,CHI,IND,L (-2),39:00:00,12,21,0.571,0,0,,3,5,0.6,2,5,7,5,0,1,2,27,20.2,
60,3/5/1992,29-017,CHI,MIN,W (+13),39:00:00,14,26,0.538,0,0,,5,5,1,1,4,5,5,1,1,1,33,25.3,
61,3/6/1992,29-018,CHI,MIA,W (+42),28:00:00,12,20,0.6,0,1,0,3,3,1,0,6,6,2,2,1,2,27,20.9,
62,3/8/1992,29-020,CHI,PHI,W (+4),43:00:00,12,26,0.462,0,1,0,10,13,0.769,3,8,11,8,1,0,1,34,28.3,
63,3/11/1992,29-023,CHI,BOS,W (+34),35:00:00,14,23,0.609,0,0,,4,4,1,0,13,13,3,0,2,4,32,24.1,
64,3/14/1992,29-026,CHI,ORL,W (+16),38:00:00,11,22,0.5,0,1,0,4,4,1,1,9,10,9,5,0,3,26,26.3,
65,3/16/1992,29-028,CHI,MIA,W (+16),39:00:00,15,27,0.556,0,2,0,7,7,1,2,7,9,13,0,1,3,37,34,
66,3/17/1992,29-029,CHI,NJN,W (+11),45:00:00,16,32,0.5,0,0,,8,12,0.667,4,6,10,4,2,2,1,40,31,
67,3/19/1992,29-031,CHI,WSB,W (+6),43:00:00,19,30,0.633,1,1,1,12,15,0.8,2,9,11,3,1,1,0,51,43.1,
68,3/21/1992,29-033,CHI,ORL,L (-3),38:00:00,10,22,0.455,0,0,,5,7,0.714,6,9,15,4,2,1,3,25,21.8,
69,3/24/1992,29-036,CHI,DEN,W (+13),41:00:00,18,31,0.581,2,3,0.667,12,13,0.923,0,6,6,6,3,0,3,50,41.1,
70,3/28/1992,29-040,CHI,CLE,W (+24),37:00:00,21,32,0.656,0,1,0,2,2,1,0,4,4,6,3,0,1,44,36.6,
71,3/31/1992,29-043,CHI,NYK,W (+6),40:00:00,13,23,0.565,0,1,0,10,12,0.833,3,1,4,3,3,1,3,36,29.1,
72,4/1/1992,29-044,CHI,CHH,W (+6),39:00:00,11,22,0.5,1,3,0.333,8,10,0.8,1,1,2,5,3,0,2,31,23.9,
73,4/3/1992,29-046,CHI,LAC,W (+11),42:00:00,5,17,0.294,0,2,0,5,6,0.833,0,6,6,7,2,0,5,15,6.8,
74,4/5/1992,29-048,CHI,BOS,L (-11),40:00:00,12,28,0.429,0,3,0,2,2,1,0,2,2,2,3,0,3,26,11.6,
75,4/7/1992,29-050,CHI,MIL,W (+15),37:00:00,12,22,0.545,2,5,0.4,4,4,1,0,5,5,7,6,1,3,30,28.3,
