game,date,age,team,opp,result,mp,fg,fga,fgp,q,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
1,10/29/2003,18-303,CLE,SAC,L (-14),42:00:00,12,20,0.6,0,2,0,1,3,0.333,2,4,6,9,4,0,2,25,24.7,-9
2,10/30/2003,18-304,CLE,PHO,L (-9),41:00:00,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,21,14.7,-3
3,11/1/2003,18-306,CLE,POR,L (-19),39:00:00,3,12,0.25,0,1,0,2,2,1,0,4,4,6,2,0,2,8,5,-21
4,11/5/2003,18-310,CLE,DEN,L (-4),41:00:00,3,11,0.273,0,2,0,1,1,1,2,9,11,7,2,3,2,7,11.2,-3
5,11/7/2003,18-312,CLE,IND,L (-1),44:00:00,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,23,9,-7
6,11/8/2003,18-313,CLE,WAS,W (+13),45:00:00,8,19,0.421,0,0,,1,4,0.25,5,3,8,9,1,1,2,17,15.7,14
7,11/10/2003,18-315,CLE,NYK,W (+14),34:00:00,7,12,0.583,3,3,1,0,0,,1,4,5,4,1,1,2,17,15.8,20
8,11/12/2003,18-317,CLE,MIA,L (-5),42:00:00,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,18,12.8,-4
9,11/14/2003,18-319,CLE,BOS,L (-9),35:00:00,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,10,0.8,-1
10,11/15/2003,18-320,CLE,PHI,W (+3),47:00:00,10,19,0.526,0,1,0,2,4,0.5,0,5,5,8,1,2,5,22,15.6,8
11,11/18/2003,18-323,CLE,LAC,W (+8),39:00:00,6,16,0.375,0,2,0,2,4,0.5,2,5,7,8,0,1,3,14,9.8,1
12,11/19/2003,18-324,CLE,WAS,L (-11),40:00:00,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,28,25,-5
13,11/21/2003,18-326,CLE,MIN,L (-14),36:00:00,8,19,0.421,0,2,0,3,3,1,2,7,9,2,1,0,1,19,12.2,-5
14,11/22/2003,18-327,CLE,ATL,L (-9),42:00:00,3,16,0.188,0,1,0,9,10,0.9,2,4,6,4,2,1,3,15,9.3,-6
15,11/26/2003,18-331,CLE,NOH,L (-10),39:00:00,5,17,0.294,1,4,0.25,4,4,1,2,6,8,9,0,0,4,15,10.2,-13
16,11/28/2003,18-333,CLE,DET,L (-4),36:00:00,2,8,0.25,0,2,0,2,3,0.667,0,2,2,7,0,0,4,6,1.1,-10
17,11/29/2003,18-334,CLE,MEM,L (-7),55:00:00,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,33,22.4,-10
18,12/2/2003,18-337,CLE,DEN,L (-12),32:00:00,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,19,12.2,-12
19,12/3/2003,18-338,CLE,LAC,L (-10),34:00:00,2,13,0.154,0,3,0,0,0,,4,2,6,8,2,0,5,4,0.9,3
