game,date,age,team,opp,result,mp,fg,fga,fgp,q,threeatt,threep,ft,fta,ftp,orb,drb,trb,ast,stl,blk,tov,pts,game_score,minus_plus
15,11/15/2017,32-320,CLE,CHO,W (+8),36:38:00,12,24,0.5,4,7,0.571,3,3,1,2,4,6,8,2,1,3,31,25.3,1
16,11/17/2017,32-322,CLE,LAC,W (+5),46:08:00,17,26,0.654,4,9,0.444,1,5,0.2,1,13,14,6,0,0,6,39,28.8,1
17,11/20/2017,32-325,CLE,DET,W (+28),27:16:00,7,14,0.5,3,5,0.6,1,1,1,0,2,2,8,1,1,0,18,18.1,21
18,11/22/2017,32-327,CLE,BRK,W (+10),33:26:00,11,17,0.647,4,7,0.571,7,9,0.778,1,5,6,5,2,0,3,33,28.6,20
19,11/24/2017,32-329,CLE,CHO,W (+1),39:34:00,10,20,0.5,3,8,0.375,4,7,0.571,1,15,16,13,0,3,3,27,28.4,-2
20,11/27/2017,32-332,CLE,PHI,W (+22),31:03:00,12,23,0.522,3,7,0.429,3,4,0.75,3,11,14,6,0,0,3,30,24.9,1
21,11/28/2017,32-333,CLE,MIA,W (+11),28:26:00,10,16,0.625,1,3,0.333,0,1,0,2,10,12,6,5,1,2,21,25.3,26
22,11/30/2017,32-335,CLE,ATL,W (+7),37:34:00,8,11,0.727,3,6,0.5,5,7,0.714,1,5,6,12,2,2,3,24,28.5,10
23,12/2/2017,32-337,CLE,MEM,W (+5),39:09:00,13,22,0.591,0,3,0,8,8,1,0,2,2,12,0,1,5,34,28.1,-5
24,12/4/2017,32-339,CLE,CHI,W (+22),34:16:00,9,15,0.6,2,4,0.5,3,4,0.75,0,7,7,6,2,0,2,23,21.6,27
25,12/6/2017,32-341,CLE,SAC,W (+6),41:03:00,12,18,0.667,5,8,0.625,3,6,0.5,2,9,11,9,3,2,7,32,30.8,2
26,12/8/2017,32-343,CLE,IND,L (-4),39:25:00,12,22,0.545,1,5,0.2,4,5,0.8,2,8,10,8,1,2,3,29,26.4,3
27,12/9/2017,32-344,CLE,PHI,W (+7),38:44:00,9,23,0.391,2,6,0.333,10,12,0.833,3,10,13,13,3,0,6,30,27.5,-3
28,12/12/2017,32-347,CLE,ATL,W (+9),35:01:00,11,13,0.846,2,3,0.667,1,2,0.5,0,7,7,17,2,0,2,25,32.3,19
29,12/14/2017,32-349,CLE,LAL,W (+9),38:43:00,8,18,0.444,1,6,0.167,8,12,0.667,1,11,12,12,2,2,5,25,24.8,14
30,12/16/2017,32-351,CLE,UTA,W (+9),36:48:00,9,15,0.6,1,4,0.25,10,10,1,0,11,11,10,1,0,5,29,27.6,0
31,12/17/2017,32-352,CLE,WAS,W (+7),41:21:00,8,23,0.348,2,7,0.286,2,3,0.667,2,9,11,15,0,1,6,20,14.4,4
32,12/19/2017,32-354,CLE,MIL,L (-3),34:14:00,14,22,0.636,6,11,0.545,5,5,1,0,1,1,7,3,2,7,39,31.4,-7
33,12/21/2017,32-356,CLE,CHI,W (+3),39:06:00,12,23,0.522,2,5,0.4,8,8,1,1,5,6,9,3,0,4,34,29.8,5
34,12/25/2017,32-360,CLE,GSW,L (-7),40:03:00,7,18,0.389,2,7,0.286,4,7,0.571,1,5,6,6,0,0,7,20,7.6,-1
35,12/27/2017,32-362,CLE,SAC,L (-14),37:42:00,6,17,0.353,0,2,0,4,5,0.8,2,8,10,14,5,0,4,16,19.9,-11
36,12/30/2017,33-000,CLE,UTA,L (-3),37:27:00,12,22,0.545,1,7,0.143,4,5,0.8,1,7,8,6,2,1,6,29,21.3,-5
37,1/2/2018,33-003,CLE,POR,W (+17),33:49:00,10,17,0.588,0,2,0,4,4,1,1,5,6,8,4,1,3,24,24.8,0
38,1/3/2018,33-004,CLE,BOS,L (-14),32:42:00,8,15,0.533,0,2,0,3,3,1,0,7,7,6,1,1,4,19,15.3,-6
39,1/6/2018,33-007,CLE,ORL,W (+4),37:17:00,12,23,0.522,4,7,0.571,5,7,0.714,3,7,10,9,6,1,3,33,34.7,15
40,1/8/2018,33-009,CLE,MIN,L (-28),26:35:00,4,8,0.5,1,3,0.333,1,3,0.333,1,7,8,5,0,2,3,10,9.1,-39
41,1/11/2018,33-012,CLE,TOR,L (-34),32:14:00,9,16,0.563,0,1,0,8,10,0.8,0,3,3,1,1,2,2,26,19.2,-22
